timestamp,HPE,FRE,WHE,Outdoor_Temp,Hour,DayOfYear,Solar_Rad,Price
2012-04-01 07:00:00,36.0,106.0,137.902767419384,4.7,7,92,269.166630028046,0.15
2012-04-01 07:01:00,37.0,107.0,134.8336395023336,4.7,7,92,273.5472019062317,0.15
2012-04-01 07:02:00,38.0,107.0,137.34460027383898,4.7,7,92,277.92256584000285,0.15
2012-04-01 07:03:00,37.0,106.0,139.14913200847752,4.7,7,92,282.29263852873714,0.15
2012-04-01 07:04:00,36.0,106.0,133.66111328344522,4.7,7,92,286.65733677254985,0.15
2012-04-01 07:05:00,36.0,108.0,134.81069743452784,4.7,7,92,291.01657747387827,0.15
2012-04-01 07:06:00,37.0,106.0,105.5624390775808,4.7,7,92,295.3702776390628,0.15
2012-04-01 07:07:00,37.0,105.0,124.18936138381133,4.7,7,92,299.71835437992814,0.15
2012-04-01 07:08:00,37.0,106.0,148.35474758873656,4.7,7,92,304.0607249153612,0.15
2012-04-01 07:09:00,36.0,106.0,100.99946399191437,4.7,7,92,308.3973065728856,0.15
2012-04-01 07:10:00,36.0,106.0,143.74485774470077,4.7,7,92,312.728016790238,0.15
2012-04-01 07:11:00,36.0,106.0,104.89174940893427,4.7,7,92,317.05277311693845,0.15
2012-04-01 07:12:00,37.0,106.0,119.0954768989429,4.7,7,92,321.37149321586054,0.15
2012-04-01 07:13:00,1429.0,115.0,130.93748317708733,4.7,7,92,325.6840948647988,0.15
2012-04-01 07:14:00,1630.0,114.0,108.91199650732393,4.7,7,92,329.9904959580344,0.15
2012-04-01 07:15:00,1719.0,114.0,148.75388015334875,4.7,7,92,334.29061450789794,0.15
2012-04-01 07:16:00,1753.0,114.0,102.0403531241623,4.7,7,92,338.58436864633086,0.15
2012-04-01 07:17:00,1773.0,113.0,142.76925808990126,4.7,7,92,342.87167662644356,0.15
2012-04-01 07:18:00,1757.0,114.0,112.5149963990369,4.7,7,92,347.1524568240722,0.15
2012-04-01 07:19:00,1761.0,113.0,117.36474631919653,4.7,7,92,351.42662773933245,0.15
2012-04-01 07:20:00,1771.0,113.0,130.50114147438939,4.7,7,92,355.69410799817103,0.15
2012-04-01 07:21:00,1776.0,114.0,102.2497554086403,4.7,7,92,359.9548163539154,0.15
2012-04-01 07:22:00,1783.0,113.0,118.04670338254002,4.7,7,92,364.2086716888201,0.15
2012-04-01 07:23:00,1792.0,114.0,120.11909445518677,4.7,7,92,368.45559301561156,0.15
2012-04-01 07:24:00,1790.0,114.0,124.72334749810977,4.7,7,92,372.695499479029,0.15
2012-04-01 07:25:00,1795.0,115.0,130.13936345657788,4.7,7,92,376.92831035736543,0.15
2012-04-01 07:26:00,1799.0,115.0,104.79457730913116,4.7,7,92,381.1539450640031,0.15
2012-04-01 07:27:00,1798.0,114.0,103.5959543637525,4.7,7,92,385.37232314894845,0.15
2012-04-01 07:28:00,1802.0,114.0,109.73894965271981,4.7,7,92,389.58336430036314,0.15
2012-04-01 07:29:00,1808.0,114.0,123.94969058880045,4.7,7,92,393.78698834609395,0.15
2012-04-01 07:30:00,1807.0,114.0,110.75460565242746,4.7,7,92,397.9831152551983,0.15
2012-04-01 07:31:00,1807.0,113.0,123.07798282021686,4.7,7,92,402.17166513946853,0.15
2012-04-01 07:32:00,1809.0,114.0,105.60935646838733,4.7,7,92,406.3525582549525,0.15
2012-04-01 07:33:00,1811.0,114.0,107.57878057934387,4.7,7,92,410.5257150034719,0.15
2012-04-01 07:34:00,1816.0,114.0,134.84581314043606,4.7,7,92,414.6910559341377,0.15
2012-04-01 07:35:00,1815.0,114.0,140.6022696641585,4.7,7,92,418.84850174486274,0.15
2012-04-01 07:36:00,1815.0,114.0,140.39319627649547,4.7,7,92,422.99797328387183,0.15
2012-04-01 07:37:00,0.0,106.0,130.42522304084338,4.7,7,92,427.1393915512082,0.15
2012-04-01 07:38:00,1.0,108.0,101.51901410054754,4.7,7,92,431.27267770023707,0.15
2012-04-01 07:39:00,1.0,106.0,127.77789232163421,4.7,7,92,435.3977530391493,0.15
2012-04-01 07:40:00,1.0,106.0,115.10483260047323,4.7,7,92,439.51453903245573,0.15
2012-04-01 07:41:00,0.0,107.0,129.27835426279245,4.7,7,92,443.62295730248553,0.15
2012-04-01 07:42:00,0.0,107.0,147.26845542449826,4.7,7,92,447.72292963087705,0.15
2012-04-01 07:43:00,1.0,108.0,143.4595654267304,4.7,7,92,451.814377960067,0.15
2012-04-01 07:44:00,1.0,106.0,101.59069964452117,4.7,7,92,455.8972243947771,0.15
2012-04-01 07:45:00,1.0,106.0,103.46826534707535,4.7,7,92,459.9713912034964,0.15
2012-04-01 07:46:00,1.0,106.0,122.38685332856468,4.7,7,92,464.0368008199616,0.15
2012-04-01 07:47:00,1.0,106.0,118.96410205293596,4.7,7,92,468.09337584463407,0.15
2012-04-01 07:48:00,1.0,106.0,141.27358876857912,4.7,7,92,472.14103904617235,0.15
2012-04-01 07:49:00,1.0,106.0,129.2017602099576,4.7,7,92,476.17971336290384,0.15
2012-04-01 07:50:00,1.0,106.0,136.92773392058288,4.7,7,92,480.2093219042912,0.15
2012-04-01 07:51:00,1.0,106.0,125.50344785968133,4.7,7,92,484.22978795239635,0.15
2012-04-01 07:52:00,1.0,107.0,114.0932959875313,4.7,7,92,488.24103496334135,0.15
2012-04-01 07:53:00,41.0,106.0,130.11679744278194,4.7,7,92,492.24298656876454,0.15
2012-04-01 07:54:00,39.0,106.0,143.68013546917365,4.7,7,92,496.23556657727676,0.15
2012-04-01 07:55:00,38.0,106.0,121.05592409622149,4.7,7,92,500.21869897590943,0.15
2012-04-01 07:56:00,38.0,106.0,136.13277216591808,4.7,7,92,504.1923079315632,0.15
2012-04-01 07:57:00,37.0,106.0,102.905599215717,4.7,7,92,508.15631779245166,0.15
2012-04-01 07:58:00,38.0,107.0,147.72661182695043,4.7,7,92,512.1106530895408,0.15
